id,web_name,first_name,second_name,element_type,position,team_id,team_name,team_short,now_cost,status,chance_of_playing_next_round,selected_by_percent,form,points_per_game,influence,creativity,threat,ict_index
105,Valdimarsson,Hákon Rafn,Valdimarsson,1,GK,5,Brentford,BRE,4.0,a,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Collins,Nathan,Collins,2,DEF,5,Brentford,BRE,5.0,a,,1.6,0.0,0.0,9.8,0.2,5.0,1.5
107,Lewis-Potter,Keane,Lewis-Potter,2,DEF,5,Brentford,BRE,5.0,a,,0.4,1.0,1.0,5.4,4.5,7.0,1.7
108,Ajer,Kristoffer,Ajer,2,DEF,5,Brentford,BRE,4.5,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
109,Henry,Rico,Henry,2,DEF,5,Brentford,BRE,4.5,a,,0.2,1.0,1.0,8.6,11.5,6.0,2.6
110,Kayode,Michael,Kayode,2,DEF,5,Brentford,BRE,4.5,a,,0.2,1.0,1.0,17.8,20.5,0.0,3.8
111,Pinnock,Ethan,Pinnock,2,DEF,5,Brentford,BRE,4.5,d,75.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
112,Roerslev,Mads,Roerslev Rasmussen,2,DEF,5,Brentford,BRE,4.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Van den Berg,Sepp,van den Berg,2,DEF,5,Brentford,BRE,4.5,a,,0.4,3.0,3.0,34.4,0.6,24.0,5.9
114,Arthur,Benjamin,Arthur,2,DEF,5,Brentford,BRE,4.0,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
115,Fredrick,Benjamin,Fredrick,2,DEF,5,Brentford,BRE,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
116,Hickey,Aaron,Hickey,2,DEF,5,Brentford,BRE,4.0,a,,0.5,0.0,0.0,2.0,0.0,0.0,0.2
117,Ji-soo,Kim,Ji-soo,2,DEF,5,Brentford,BRE,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
118,Meghoma,Jayden,Meghoma,2,DEF,5,Brentford,BRE,4.0,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
120,Schade,Kevin,Schade,3,MID,5,Brentford,BRE,7.0,a,100.0,0.3,1.0,1.0,4.6,0.9,6.0,1.2
121,Damsgaard,Mikkel,Damsgaard,3,MID,5,Brentford,BRE,6.0,a,,0.9,0.0,0.0,0.0,0.0,0.0,0.0
122,Milambo,Antoni,Milambo,3,MID,5,Brentford,BRE,5.5,a,,0.1,1.0,1.0,4.0,1.8,0.0,0.6
123,Carvalho,Fábio,Freitas Gouveia Carvalho,3,MID,5,Brentford,BRE,5.0,a,,0.3,2.0,2.0,5.4,5.0,3.0,1.3
124,Henderson,Jordan,Henderson,3,MID,5,Brentford,BRE,5.0,a,,0.3,1.0,1.0,0.0,1.1,0.0,0.1
125,Janelt,Vitaly,Janelt,3,MID,5,Brentford,BRE,5.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Jensen,Mathias,Jensen,3,MID,5,Brentford,BRE,5.0,a,,0.1,2.0,2.0,9.0,25.4,8.0,4.2
127,Nunes,Gustavo,Nunes Fernandes Gomes,3,MID,5,Brentford,BRE,5.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Onyeka,Frank,Onyeka,3,MID,5,Brentford,BRE,5.0,a,,0.1,4.0,4.0,0.0,0.1,2.0,0.1
129,Yarmoliuk,Yehor,Yarmoliuk,3,MID,5,Brentford,BRE,5.0,a,,0.0,2.0,2.0,3.6,10.8,7.0,2.1
130,Donovan,Romelle,Donovan,3,MID,5,Brentford,BRE,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
131,Konak,Yunus Emre,Konak,3,MID,5,Brentford,BRE,4.5,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
132,Maghoma,Paris,Maghoma,3,MID,5,Brentford,BRE,4.5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Peart-Harris,Myles,Peart-Harris,3,MID,5,Brentford,BRE,4.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Trevitt,Ryan,Trevitt,3,MID,5,Brentford,BRE,4.5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Wissa,Yoane,Wissa,4,FWD,5,Brentford,BRE,7.5,n,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Thiago,Igor Thiago,Nascimento Rodrigues,4,FWD,5,Brentford,BRE,6.0,a,,1.0,6.0,6.0,36.4,10.7,22.0,6.9
137,Morgan,Iwan,Morgan,4,FWD,5,Brentford,BRE,4.5,a,,0.5,0.0,0.0,0.0,0.0,0.0,0.0
138,Steele,Jason,Steele,1,GK,6,Brighton,BHA,4.5,a,,0.5,0.0,0.0,0.0,0.0,0.0,0.0
139,Verbruggen,Bart,Verbruggen,1,GK,6,Brighton,BHA,4.5,a,,7.6,2.0,2.0,14.4,0.0,0.0,1.4
140,McGill,Tom,McGill,1,GK,6,Brighton,BHA,4.0,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
141,Rushworth,Carl,Rushworth,1,GK,6,Brighton,BHA,4.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Scherpen,Kjell,Scherpen,1,GK,6,Brighton,BHA,4.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Boscagli,Olivier,Boscagli,2,DEF,6,Brighton,BHA,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
